hwd;pronSampa;ipa
archeological;A r\ k i: @ l A dZ i k @ l;ɑɹkiːəlɑ?ikəl
ugric;j u g r\ i k;jugɹik
medical(2);m E 4 i k @ l;mɛɾikəl
seismologists(3);s aI z m A l @ dZ @ s;s?zmɑlə?əs
consequences;k A n s @ k w E n s @ z;kɑnsəkwɛnsəz
littleford;l I 4 @ l f 3:r d;lɪɾəlfɜ:rd
jetton;dZ E t @ n;?ɛtən
recognition's;r\ E k i g n I S @ n z;ɹɛkignɪʃənz
ertl;3:r 4 @ l;ɜ:rɾəl
hoehn;h @U n;hoʊn
fotopoulos;f @ t A p @ l i s;fətɑpəlis
arrested;3:r E s t @ d;ɜ:rɛstəd
judkins;dZ V d k i n z;?ʌdkinz
warsaw;w O: r\ s O:;wOːɹsOː
saunier;s O: n i: 3:r;sOːniːɜ:r
flocks;f l A k s;flɑks
pills;p I l z;pɪlz
scaffold;s k { f @ l d;skæfəld
manasion's;m { n @ S @ n z;mænəʃənz
troxel;t r\ A k s @ l;tɹɑksəl
polymers;p A l i m 3:r z;pɑlimɜ:rz
copiague;k @U p i: { g;koʊpiːæg
bernstein(2);b 3:r n s t i: n;bɜ:rnstiːn
continental(2);k A n t @ n E n @ l;kɑntənɛnəl
mazur;m { z 3:r;mæzɜ:r
travelers;t r\ { v @ l 3:r z;tɹævəlɜ:rz
antar;{ n t 3:r;æntɜ:r
mckern;m @ k 3:r n;məkɜ:rn
adder;{ 4 3:r;æɾɜ:r
kurowski;k 3:r O: f s k i:;kɜ:rOːfskiː
ribicoff;r\ I b i k O: f;ɹɪbikOːf
sours(2);s aU r\ z;s?ɹz
tubs;t V b z;tʌbz
blazek;b l A z E k;blɑzɛk
bloc;b l A k;blɑk
fiji's;f i: dZ i: z;fiː?iːz
unwilling;@ n w I l i N;ənwɪliŋ
mccaa;m @ k A;məkɑ
isaly(2);aI s l i:;?sliː
systems';s I s t @ m z;sɪstəmz
lebarron;l @ b E r\ @ n;ləbɛɹən
twaddle;t w A 4 @ l;twɑɾəl
cambrian;k { m b r\ i: @ n;kæmbɹiːən
enmesh;E n m E S;ɛnmɛʃ
follicle(2);f A l i k @ l;fɑlikəl
thibodeau;T I b @ 4 @U;θɪbəɾoʊ
baney;b eI n i:;b?niː
absorbs;@ b z O: r\ b z;əbzOːɹbz
gruner;g r\ u n 3:r;gɹunɜ:r
undertake;V n d 3:r t eI k;ʌndɜ:rt?k
electromagnetism;i l E k t r\ @U m { g n @ t I z @ m;ilɛktɹoʊmægnətɪzəm
faded;f eI 4 @ d;f?ɾəd
presage;p r\ E s i dZ;pɹɛsi?
object;A b dZ E k t;ɑb?ɛkt
gainous;g eI n @ s;g?nəs
bourse's;b O: r\ s i z;bOːɹsiz
samper's;s { m p 3:r z;sæmpɜ:rz
sudafed;s u 4 @ f E d;suɾəfɛd
kidded;k I 4 i d;kɪɾid
uses(2);j u s i z;jusiz
biomaterials;b aI @U m @ t I r\ i: @ l z;b?oʊmətɪɹiːəlz
patronized;p eI t r\ @ n aI z d;p?tɹən?zd
shaykin's;S eI k i n z;ʃ?kinz
encumbered;E n k V m b 3:r d;ɛnkʌmbɜ:rd
chudzinski;tS @ dZ I n s k i:;?ə?ɪnskiː
aforesaid;@ f O: r\ s E d;əfOːɹsɛd
oskar;O: s k 3:r;Oːskɜ:r
ecton;E k t @ n;ɛktən
blackmailing;b l { k m eI l i N;blækm?liŋ
polymerizes;p A l i m 3:r aI z @ z;pɑlimɜ:r?zəz
desirable(2);d i z aI 3:r @ b @ l;diz?ɜ:rəbəl
bianchini;b i A n tS i: n i:;biɑn?iːniː
birthmarks;b 3:r T m A r\ k s;bɜ:rθmɑɹks
mcbreen;m @ k b r\ i: n;məkbɹiːn
mignons;m I g n @ n z;mɪgnənz
ireton(2);aI 3:r t @ n;?ɜ:rtən
stuckman;s t V k m @ n;stʌkmən
seguros;s eI g j 3:r @U z;s?gjɜ:roʊz
nagged;n { g d;nægd
entangling;i n t { N l i N;intæŋliŋ
dennison;d E n i s @ n;dɛnisən
basilio;b A s i: l i: @U;bɑsiːliːoʊ
betters;b E 4 3:r z;bɛɾɜ:rz
toehold;t @U h @U l d;toʊhoʊld
pylant(2);p i l { n t;pilænt
sarokin;s E r\ @ k i n;sɛɹəkin
scozzafava;s k @U t s A f A v @;skoʊtsɑfɑvə
kremlin's;k r\ E m l i n z;kɹɛmlinz
receptacles;r\ i s E p t i k @ l z;ɹisɛptikəlz
extensively;i k s t E n s i v l i:;ikstɛnsivliː
juncture;dZ V N k tS 3:r;?ʌŋk?ɜ:r
vallez;v A l E z;vɑlɛz
gerbrandt;g 3:r b r\ { n t;gɜ:rbɹænt
falgout;f { l g aU t;fælg?t
daggett;d { g i t;dægit
thirteenths;T 3:r t i: n T s;θɜ:rtiːnθs
imminence;I m @ n @ n s;ɪmənəns
walthose;w O: l t h @U z;wOːlthoʊz
keirsey;k I r\ s i:;kɪɹsiː
gourley;g O: r\ l i:;gOːɹliː
crestar;k r\ E s t A r\;kɹɛstɑɹ
combed;k @U m d;koʊmd
arkwright;A r\ k r\ aI t;ɑɹkɹ?t
mashantucket;m { S @ n t V k @ t;mæʃəntʌkət
loincloth;l OI n k l O: T;l?nklOːθ
yuppie;j V p i:;jʌpiː
xers(2);k s E r\ z;ksɛɹz
potash;p A t { S;pɑtæʃ
henrique;A n r\ i: k;ɑnɹiːk
raul(2);r\ A u l;ɹɑul
tonight's;t @ n aI t s;tən?ts
banquets;b { N k w @ t s;bæŋkwəts
burger's;b 3:r g 3:r z;bɜ:rgɜ:rz
botz;b A t s;bɑts
romanticizing;r\ @U m { n t @ s aI z i N;ɹoʊmæntəs?ziŋ
yearling(2);j I l i N;jɪliŋ
counterterrorism(2);k aU n 3:r t E r\ 3:r I z @ m;k?nɜ:rtɛɹɜ:rɪzəm
kempel;k E m p @ l;kɛmpəl
tourist's;t U r\ @ s t s;tʊɹəsts
dobberstein(2);d A b 3:r s t aI n;dɑbɜ:rst?n
subjects';s V b dZ E k t s;sʌb?ɛkts
firing;f aI r\ i N;f?ɹiŋ
gomer;g @U m 3:r;goʊmɜ:r
perfecta;p 3:r f E k t @;pɜ:rfɛktə
rateliff;r\ { t l i f;ɹætlif
prinos;p r\ i: n @U s;pɹiːnoʊs
foland;f @U l @ n d;foʊlənd
standridge;s t { n d r\ i dZ;stændɹi?
bowery;b aU 3:r i:;b?ɜ:riː
dannemeyer;d { n @ m aI r\;dænəm?ɹ
rase;r\ eI z;ɹ?z
psychotherapist;s aI k @ T E r\ @ p i s t;s?kəθɛɹəpist
lenger;l E N 3:r;lɛŋɜ:r
issy;I s i:;ɪsiː
subsidizing;s V b s i d aI z i N;sʌbsid?ziŋ
ebony;E b @ n i:;ɛbəniː
lagasse;l A g A s i:;lɑgɑsiː
abott;@ b A t;əbɑt
deters;d i t 3:r z;ditɜ:rz
blaker;b l eI k 3:r;bl?kɜ:r
kreul;k r\ u l;kɹul
vandross;v { n d r\ O: s;vændɹOːs
for;f O: r\;fOːɹ
jetstream's;dZ E t s t r\ i: m z;?ɛtstɹiːmz
gratefully;g r\ eI t f @ l i:;gɹ?tfəliː
mcauliff;m @ k O: l @ f;məkOːləf
anyplace;E n i: p l eI s;ɛniːpl?s
aberrational;{ b 3:r eI S @ n @ l;æbɜ:r?ʃənəl
mounted(2);m aU n t i d;m?ntid
adrenalin;@ d r\ E n @ l i n;ədɹɛnəlin
sedans;s i d { n z;sidænz
rochester;r\ A tS E s t 3:r;ɹɑ?ɛstɜ:r
thru;T r\ u;θɹu
hermine;h 3:r m i n;hɜ:rmin
brunnhilde;b r\ V n h i l d;bɹʌnhild
harv;h A r\ v;hɑɹv
halifax;h { l i f { k s;hælifæks
jammer;dZ { m 3:r;?æmɜ:r
menges;m E n dZ i z;mɛn?iz
nippy;n I p i:;nɪpiː
craziness;k r\ eI z i: n @ s;kɹ?ziːnəs
liposuction;l I p @U s V k S @ n;lɪpoʊsʌkʃən
mauvais;m O: v eI;mOːv?
croatia's;k r\ @U eI S @ z;kɹoʊ?ʃəz
piety;p aI @ 4 i:;p?əɾiː
disassociated;d I s @ s @U S i: eI 4 @ d;dɪsəsoʊʃiː?ɾəd
flout;f l aU t;fl?t
herniate;h 3:r n i: eI t;hɜ:rniː?t
porcher;p O: r\ tS 3:r;pOːɹ?ɜ:r
squab;s k w A b;skwɑb
monzo;m A n z @U;mɑnzoʊ
gaggle;g { g @ l;gægəl
nester;n E s t 3:r;nɛstɜ:r
puppets(2);p V p i t s;pʌpits
khuu;k u;ku
hiccoughs;h I k @ p s;hɪkəps
sligar;s l I g 3:r;slɪgɜ:r
butchko;b V tS k @U;bʌ?koʊ
helpings;h E l p i N z;hɛlpiŋz
centaur;s E n t O: r\;sɛntOːɹ
uranus;j u r\ @ n @ s;juɹənəs
lossing;l O: s i N;lOːsiŋ
villasenor;v i: l A s eI @ n O: r\;viːlɑs?ənOːɹ
merges;m 3:r dZ i z;mɜ:r?iz
doers;d u 3:r z;duɜ:rz
munro;m @ n r\ @U;mənɹoʊ
midcon;m I d k A n;mɪdkɑn
request(2);r\ i: k w E s t;ɹiːkwɛst
merica;m E r\ i k @;mɛɹikə
homologous;h @ m A l @ g @ s;həmɑləgəs
balcerzak;b @ l tS 3:r z @ k;bəl?ɜ:rzək
banos;b A n @U z;bɑnoʊz
orbited;O: r\ b @ 4 @ d;Oːɹbəɾəd
taffe;t { f;tæf
thaxter;T { k s t 3:r;θækstɜ:r
from(2);f 3:r m;fɜ:rm
woodwinds;w U d w I n d z;wʊdwɪndz
widener;w I d i: n 3:r;wɪdiːnɜ:r
hameister;h { m aI s t 3:r;hæm?stɜ:r
hearn;h 3:r n;hɜ:rn
frankenstein;f r\ { N k @ n s t aI n;fɹæŋkənst?n
client;k l aI @ n t;kl?ənt
sizes;s aI z @ z;s?zəz
cornejo;k 3:r n eI j @U;kɜ:rn?joʊ
deininger;d aI n i N 3:r;d?niŋɜ:r
opel's;@U p @ l z;oʊpəlz
tropea;t r\ @U p i: @;tɹoʊpiːə
tamil;t @ m i l;təmil
eleanor;E l @ n O: r\;ɛlənOːɹ
verisimilitude;v E r\ @ s @ m I l @ t u d;vɛɹəsəmɪlətud
polytechnic;p A l i t E k n i k;pɑlitɛknik
erosive;i r\ @U s i v;iɹoʊsiv
elise;@ l i: s;əliːs
downe;d aU n;d?n
gellis;g E l i s;gɛlis
cyclists(3);s aI k l i s t s;s?klists
perz;p 3:r z;pɜ:rz
intrepid;i n t r\ E p @ d;intɹɛpəd
balles;b eI l z;b?lz
stored;s t O: r\ d;stOːɹd
katzman;k { t s m @ n;kætsmən
misdemeanor;m I s d @ m i: n 3:r;mɪsdəmiːnɜ:r
hence;h E n s;hɛns
incarnation;i n k A r\ n eI S @ n;inkɑɹn?ʃən
hull's;h V l z;hʌlz
zane;z eI n;z?n
rapeseed;r\ eI p s i: d;ɹ?psiːd
felkner;f E l k n 3:r;fɛlknɜ:r
lanthanum;l { n T @ n @ m;lænθənəm
test's;t E s t s;tɛsts
sumac;s u m { k;sumæk
chan;tS { n;?æn
gaska;g A s k @;gɑskə
geminate;dZ E m @ n @ t;?ɛmənət
actionable;{ k S @ n @ b @ l;ækʃənəbəl
benhamou;b E n h @ m u;bɛnhəmu
inflated;i n f l eI 4 @ d;infl?ɾəd
classen;k l { s @ n;klæsən
sickles;s I k @ l z;sɪkəlz
pathogenic;p { T @ dZ E n i k;pæθə?ɛnik
fucking;f V k i N;fʌkiŋ
tanguma;t A N g u m @;tɑŋgumə
abiding;@ b aI 4 i N;əb?ɾiŋ
antiaircraft;{ n t aI E r\ k r\ { f t;ænt?ɛɹkɹæft
intellects;I n t @ l E k t s;ɪntəlɛkts
rounded;r\ aU n d @ d;ɹ?ndəd
angelle;eI N g E l;?ŋgɛl
spanks;s p { N k s;spæŋks
objects;A b dZ E k t s;ɑb?ɛkts
chernomyrdin's;tS E r\ n @U m I r\ d @ n z;?ɛɹnoʊmɪɹdənz
caplinger;k eI p @ l i N 3:r;k?pəliŋɜ:r
mccreedy;m @ k r\ i: 4 i:;məkɹiːɾiː
kelley;k E l i:;kɛliː
chrusciel;k r\ V s i: l;kɹʌsiːl
wavetek;w eI v t E k;w?vtɛk
keeney;k i: n i:;kiːniː
applicants';{ p l @ k @ n t s;æpləkənts
disclaiming;d i s k l eI m i N;diskl?miŋ
curtains;k 3:r t @ n z;kɜ:rtənz
dasch;d { S;dæʃ
fuhr;f U r\;fʊɹ
stanadyne;s t { n @ d aI n;stænəd?n
travelday;t r\ { v @ l d eI;tɹævəld?
vandeven;v { n d @ v @ n;vændəvən
kevlar;k E v l 3:r;kɛvlɜ:r
bettes;b E 4 i: z;bɛɾiːz
scholar;s k A l 3:r;skɑlɜ:r
lepped;l E p t;lɛpt
mccoy;m @ k OI;mək?
thomassen;T A m @ s @ n;θɑməsən
dryly;d r\ aI l i:;dɹ?liː
poehl;p @U l;poʊl
staniszewski;s t @ n i S E f s k i:;stəniʃɛfskiː
yoshiro;j @U S I r\ @U;joʊʃɪɹoʊ
dale's;d eI l z;d?lz
vinick;v I n i k;vɪnik
ozzie;A z i:;ɑziː
vandalize;v { n d @ l aI z;vændəl?z
enjoy;E n dZ OI;ɛn??
nationalized(2);n { S n @ l aI z d;næʃnəl?zd
repudiate;r\ i: p j u 4 i: eI t;ɹiːpjuɾiː?t
medigap;m E 4 i g { p;mɛɾigæp
throttles;T r\ A 4 @ l z;θɹɑɾəlz
chain;tS eI n;??n
dickenson;d I k i n s @ n;dɪkinsən
polk's;p @U k s;poʊks
radwan;r\ { d w @ n;ɹædwən
intergraph;I n t 3:r g r\ { f;ɪntɜ:rgɹæf
spinoff;s p I n O: f;spɪnOːf
galena;g @ l i: n @;gəliːnə
laubenstein;l aU b @ n s t aI n;l?bənst?n
wellborn;w E l b O: r\ n;wɛlbOːɹn
kerley;k 3:r l i:;kɜ:rliː
prediction;p r\ i: d I k S @ n;pɹiːdɪkʃən
ditching;d I tS i N;dɪ?iŋ
chafee;tS { f i:;?æfiː
bayonne;b eI j @U n;b?joʊn
backdrop;b { k d r\ A p;bækdɹɑp
banghart;b { N h A r\ t;bæŋhɑɹt
esham;E S @ m;ɛʃəm
mosbacher;m A s b A k 3:r;mɑsbɑkɜ:r
otwell;A t w E l;ɑtwɛl
ergot;3:r g @ t;ɜ:rgət
dedominicis;d eI 4 @U m i: n i: s i s;d?ɾoʊmiːniːsis
dalgety;d { l g E 4 i:;dælgɛɾiː
autopsies;O: t A p s i: z;Oːtɑpsiːz
eleven's;i l E v @ n z;ilɛvənz
intercepted(2);I n t 3:r s E p t i d;ɪntɜ:rsɛptid
donnelly(2);d A n E l i:;dɑnɛliː
pernice;p 3:r n i s;pɜ:rnis
flournoy;f l U r\ n OI;flʊɹn?
voyd;v OI d;v?d
dehydrate;d i h aI d r\ eI t;dih?dɹ?t
loehr;l O: r\;lOːɹ
furukawa;f U r\ u k A w @;fʊɹukɑwə
dunegan;d V n i g { n;dʌnigæn
tollbooth;t @U l b u T;toʊlbuθ
peep;p i: p;piːp
sherbondy;S 3:r b A n d i:;ʃɜ:rbɑndiː
earnhart;3:r n h A r\ t;ɜ:rnhɑɹt
pamour;p { m O: r\;pæmOːɹ
nightclub;n aI t k l V b;n?tklʌb
theorists(3);T i: 3:r i s;θiːɜ:ris
funderburk;f V n d 3:r b 3:r k;fʌndɜ:rbɜ:rk
comprint;k A m p r\ I n t;kɑmpɹɪnt
teck's;t E k s;tɛks
skimpy;s k I m p i:;skɪmpiː
girdle;g 3:r 4 @ l;gɜ:rɾəl
remarks(2);r\ i: m A r\ k s;ɹiːmɑɹks
syrup(2);s I r\ @ p;sɪɹəp
recount;r\ i k aU n t;ɹik?nt
buttke;b V t k i:;bʌtkiː
budiman;b j u 4 i m @ n;bjuɾimən
kansas;k { n z @ s;kænzəs
lonergan;l A n 3:r g @ n;lɑnɜ:rgən
accuride;{ k j 3:r aI d;ækjɜ:r?d
complainers;k A m p l eI n 3:r z;kɑmpl?nɜ:rz
satanic;s @ t { n i k;sətænik
cornea;k O: r\ n i: @;kOːɹniːə
longino;l @U N g i: n @U;loʊŋgiːnoʊ
truicko(2);t r\ u i: k @U;tɹuiːkoʊ
hemdale;h E m d eI l;hɛmd?l
chronic;k r\ A n i k;kɹɑnik
faddish;f { 4 i S;fæɾiʃ
leverette;l E v 3:r E t;lɛvɜ:rɛt
compartmentalize;k @ m p A r\ t m E n t @ l aI z;kəmpɑɹtmɛntəl?z
thompkins;t A m p k i n z;tɑmpkinz
fidalgo;f i: d A l g @U;fiːdɑlgoʊ
fujiyama;f u dZ i: j A m @;fu?iːjɑmə
gurtler(2);g 3:r t l 3:r;gɜ:rtlɜ:r
dioxin;d aI A k s i n;d?ɑksin
shoultz;S @U l t s;ʃoʊlts
dresen;d r\ i: z @ n;dɹiːzən
optometrists;A p t A m @ t r\ i s t s;ɑptɑmətɹists
restraints;r\ i s t r\ eI n t s;ɹistɹ?nts
higbee;h I g b i:;hɪgbiː
inductance;i n d V k t @ n s;indʌktəns
excised;E k s aI z d;ɛks?zd
kibbel;k I b @ l;kɪbəl
ohearn;A h 3:r n;ɑhɜ:rn
weeklies;w i: k l i: z;wiːkliːz
coverall;k V v 3:r O: l;kʌvɜ:rOːl
lamie;l eI m i:;l?miː
armies;A r\ m i: z;ɑɹmiːz
homeliness;h @U m l i: n @ s;hoʊmliːnəs
luckyn;l V k i n;lʌkin
zabows;z eI b @U z;z?boʊz
barnick;b A r\ n i k;bɑɹnik
uncalled;@ n k O: l d;ənkOːld
leadbelly;l E d b E l i:;lɛdbɛliː
gardner;g A r\ d n 3:r;gɑɹdnɜ:r
soward;s @U 3:r d;soʊɜ:rd
klukas;k l u k @ z;klukəz
malefactors(2);m { l f { k t 3:r z;mælfæktɜ:rz
mcnemar;m { k n @ m A r\;mæknəmɑɹ
won(2);w A n;wɑn
travelstead;t r\ { v @ l s t E d;tɹævəlstɛd
soyuz(2);s OI u z;s?uz
acetate;{ s @ t eI t;æsət?t
abdella;{ b d E l @;æbdɛlə
wachowiak;v @ h aU i: { k;vəh?iːæk
prussia;p r\ V S @;pɹʌʃə
instone;I n s t @U n;ɪnstoʊn
skibo;s k aI b @U;sk?boʊ
eloisa;E l OI s @;ɛl?sə
garvey;g A r\ v i:;gɑɹviː
isaak;i s A k;isɑk
privett;p r\ I v i t;pɹɪvit
franchise's;f r\ { n tS aI z i z;fɹæn??ziz
lapinski;l @ p I n s k i:;ləpɪnskiː
nailed;n eI l d;n?ld
inculcated;I N k @ l k eI 4 @ d;ɪŋkəlk?ɾəd
lifers;l aI f 3:r z;l?fɜ:rz
odoms;@U 4 @ m z;oʊɾəmz
immovable;i m u v @ b @ l;imuvəbəl
boodles;b u 4 @ l z;buɾəlz
huguley;h V g j u l i:;hʌgjuliː
achieved;@ tS i: v d;ə?iːvd
demonizer;d i: m @ n aI z 3:r;diːmən?zɜ:r
arcs;A r\ k s;ɑɹks
deliverers;d i l I v 3:r 3:r z;dilɪvɜ:rɜ:rz
feces;f i: s i: z;fiːsiːz
sulak;s u l @ k;sulək
benjamin;b E n dZ @ m @ n;bɛn?əmən
imports(2);I m p O: r\ t s;ɪmpOːɹts
toshihiko;t @U S i h i: k @U;toʊʃihiːkoʊ
lobsterman;l A b s t 3:r m @ n;lɑbstɜ:rmən
clinic's;k l I n i k s;klɪniks
profs;p r\ A f s;pɹɑfs
vold;v @U l d;voʊld
marting;m A r\ 4 i N;mɑɹɾiŋ
longaker;l A N g @ k 3:r;lɑŋgəkɜ:r
edgar's;E d g 3:r z;ɛdgɜ:rz
recommited;r\ i k A m I 4 i d;ɹikɑmɪɾid
lubricants;l u b r\ @ k @ n t s;lubɹəkənts
pirrone;p i r\ @U n i:;piɹoʊniː
cerutti;tS 3:r u 4 i:;?ɜ:ruɾiː
pejorative;p @ dZ O: r\ @ 4 i v;pə?Oːɹəɾiv
hany's;h eI n i: z;h?niːz
nydegger;n I 4 i g 3:r;nɪɾigɜ:r
sea's;s i: z;siːz
samos;s eI m A s;s?mɑs
gier;dZ I r\;?ɪɹ
cocca;k @U k @;koʊkə
geologist;dZ i: A l @ dZ @ s t;?iːɑlə?əst
busser;b V s 3:r;bʌsɜ:r
